id,user_id,sensor_name,sensor_token
1,7,Sensor Voltaje,Txt7C0Nvnvea
2,9,Sensor Voltaje,Ykwreg0Utwye
4,9,Sensor Voltaje,7Uoi06Wg2Smn
5,7,Sensor Voltaje,Yxnoh4Rxlwfa
7,7,Sensor Voltaje,Gi9Vzyylyuoa
10,5,Sensor Voltaje,Rzqj6Rqywjxo
11,1,Sensor Voltaje,Fajpireuzcg9
12,2,Sensor Voltaje,Tcvlkdcetyvk
13,1,Sensor Voltaje,Ulabnpavgxdk
15,3,Sensor Voltaje,Ifua39Vvz3Xx
16,10,Sensor Voltaje,E9Ndjugrrc6P
17,5,Sensor Voltaje,Pqvpevq3Rmge
18,5,Sensor Voltaje,5Pquflyj6Laq
19,7,Sensor Voltaje,Bcwsfjevmnjt
20,5,Sensor Voltaje,7Ymnhhan8T9R
