id,user_id,sensor_name,sensor_token
1,38,Sensor Voltaje,f6XqHvwdfHfv6SGA
2,49,Sensor Voltaje,kJgnjHJqoGygneW1
3,23,Sensor Voltaje,U3Sq5haNi8UJRKBD
4,21,Sensor Voltaje,OHcKUVINzrgHRmDu
5,40,Sensor Voltaje,Y0E6EyeUHDQyt0w3
6,48,Sensor Voltaje,wRIGiqTtKRjKyq8J
7,4,Sensor Voltaje,bYOIJX4LCFuGsBx7
8,1,Sensor Voltaje,PZDbh7O3E6bpMQty
9,46,Sensor Voltaje,Xzz9blVTxH905war
10,9,Sensor Voltaje,GDtDEP7XLbsGb7k4
11,5,Sensor Voltaje,3RCSXxFmhj01e9Sq
12,24,Sensor Voltaje,TcXzPXULhcWlLGpm
13,7,Sensor Voltaje,kEB7SWR0XZpryGKq
14,7,Sensor Voltaje,GJNazcWTS737fkNs
15,6,Sensor Voltaje,d6hIMxX5V8IEGW5Y
16,50,Sensor Voltaje,4o4BwZw1dFW5Jhk6
17,19,Sensor Voltaje,De95KtvcuFd9Rz5v
18,25,Sensor Voltaje,doFkLGx4T4ecRk84
19,17,Sensor Voltaje,NWsMbR67RLmLjXcq
20,19,Sensor Voltaje,3IB0hjFVryETqqe7
21,49,Sensor Voltaje,KezHiqLTvriUkxe5
22,38,Sensor Voltaje,H5yxwYpJHePUQ3lg
23,16,Sensor Voltaje,411QsSM9qsBsZoJQ
24,50,Sensor Voltaje,LEbpkHhAQ9hL7WAH
25,24,Sensor Voltaje,uLT3TBlTqHNNwLUC
26,22,Sensor Voltaje,X5mwyJf07O2YkN7C
27,21,Sensor Voltaje,wZ1Ek2hOGNOpxTJ2
28,3,Sensor Voltaje,FGKFH7mnn3W51K2P
29,34,Sensor Voltaje,wFjTtx3bsMwIpqYS
30,40,Sensor Voltaje,WZQXHFN4lq6XcFNl
31,1,Sensor Voltaje,bcREyHNFwzwgoPNS
32,6,Sensor Voltaje,yEtMpsYCeF6uN5Sx
33,1,Sensor Voltaje,ctsPtoGjNfhDP4VO
34,22,Sensor Voltaje,5j3QI8p6ft2SIxrn
35,4,Sensor Voltaje,IIC1BHt8PmM6PA8X
36,14,Sensor Voltaje,R9pOrfaiiLamHb3H
37,23,Sensor Voltaje,gdWHRbsybbJjz9Sc
38,14,Sensor Voltaje,tSS2EmENb0Iowdxe
39,13,Sensor Voltaje,tEfR9YFatlKUIWY9
40,32,Sensor Voltaje,XZ7vL0Szr0CvfPAE
41,44,Sensor Voltaje,0IrJLkUvv6ikCfey
42,9,Sensor Voltaje,4aeD1O3oo6k2zIPI
43,19,Sensor Voltaje,IN9d8STB8Uf4uO7A
44,34,Sensor Voltaje,8mDz1nv3PILVxxd7
45,27,Sensor Voltaje,BKz9DBxwYjdaPsO1
46,45,Sensor Voltaje,0hVxmZjPBRzIsM96
47,12,Sensor Voltaje,o2wAp0ZuEuqUJ4dL
48,17,Sensor Voltaje,LCuLRVM0SJ5PwbTi
49,1,Sensor Voltaje,z5mC4U39S9mWT7Ke
50,15,Sensor Voltaje,KAOOpJNsNCvrcgOW
51,22,Sensor Voltaje,P8iPMbqplyPulksv
52,29,Sensor Voltaje,9yYrKTaNglW4eLKW
53,7,Sensor Voltaje,Kr64y6KaJRoIHGwL
54,19,Sensor Voltaje,vIiJI3J3o8UBHAZo
55,48,Sensor Voltaje,EgFCWXeT6dfvAVT0
56,7,Sensor Voltaje,s4RsQORDAZvDqGsd
57,45,Sensor Voltaje,fEwL86k0Jmc6Q9mR
58,3,Sensor Voltaje,ByGRdouZaUMcmDHC
59,32,Sensor Voltaje,widyqJWRW6yftgFA
60,44,Sensor Voltaje,ocUsup5ny1fxe0zh
61,26,Sensor Voltaje,Rs35TKYoAzvgK1Hp
62,2,Sensor Voltaje,In4NgiKE116t6WJj
63,29,Sensor Voltaje,cZg6snnuF5AtkHFq
64,8,Sensor Voltaje,9yBWhcLSf5SkEh4w
65,27,Sensor Voltaje,zunb2TkmaHFMsTl9
66,19,Sensor Voltaje,jTxx7ShQ0LU3G6Cb
67,8,Sensor Voltaje,YSzib5QR71rHtRSz
68,8,Sensor Voltaje,aVhz3MrNho5kqTj9
69,48,Sensor Voltaje,x92FnG7TmCESBP32
70,45,Sensor Voltaje,ebKCOyG8cqNW00fu
71,38,Sensor Voltaje,apHqlGr3piqJaB0X
72,46,Sensor Voltaje,wmVs2jRqqCJUT0sb
73,35,Sensor Voltaje,iEZ7ZIrDqU5bks8a
74,38,Sensor Voltaje,UNU0H6KFRG93nd9Q
75,15,Sensor Voltaje,rSoBvgNk83zg93gw
76,49,Sensor Voltaje,CutBUXLeH5xAY3wl
77,47,Sensor Voltaje,t0FnXQ2t3ZGr58rL
78,5,Sensor Voltaje,3lR6Z9ij7Azmemgw
79,2,Sensor Voltaje,btDcotRUreUndKog
80,47,Sensor Voltaje,NfaJJ0rIm2z4JxXN
81,36,Sensor Voltaje,XsPPvLvnmZNiNeCx
82,34,Sensor Voltaje,NCdySEyo9l0cXvj8
83,23,Sensor Voltaje,h48DFfVy8UNkzhkw
84,14,Sensor Voltaje,FExIexitxAA8UsFz
85,18,Sensor Voltaje,I28jl0GAmJJJWcWz
86,40,Sensor Voltaje,bq8PcWh0OfV4Aog1
87,11,Sensor Voltaje,OICtIUUOIpBHz6hF
88,31,Sensor Voltaje,S5GockpLsaA2VrVd
89,19,Sensor Voltaje,LhoVc0rPuUIPSmCp
90,1,Sensor Voltaje,LGEGwgWU7dsf7UuU
91,9,Sensor Voltaje,9AB8p7ze4fxxWXPd
92,29,Sensor Voltaje,r58Td3b78JzAS02m
93,47,Sensor Voltaje,O75BTJj57BQhTW5N
94,30,Sensor Voltaje,BfufEFOSwPpVlLqG
95,39,Sensor Voltaje,Vh2jqrNrgBDSgjns
96,4,Sensor Voltaje,d6roDFNYyua2elyy
97,20,Sensor Voltaje,jCXoeGDhL3u161Yv
